1	8	10	15.786	5.325
1	8	10	15.852	5.303
1	8	10	15.931	5.277
2	8	10	31.984	5.251
1	8	10	15.869	5.298
2	8	10	31.736	5.292
2	8	10	31.449	5.340
3	8	10	47.586	5.328
1	8	10	15.706	5.353
2	8	10	31.558	5.322
1	8	100	137.741	0.610
1	1	1	16.516	5.090
3	1	1	47.447	5.343
1	1	1	15.644	5.374
1	2	1	7.421	11.327
3	1	1	47.828	5.301
1	2	1	7.316	11.491
1	1	1	15.366	5.471
2	8	100	272.669	0.616
2	1	1	30.571	5.494
3	2	1	22.305	11.366
1	4	1	4.800	17.515
2	4	1	9.809	17.122
2	2	1	14.901	11.271
3	1	1	46.972	5.397
1	2	1	7.414	11.339
1	1	1	14.966	5.617
2	2	1	14.844	11.315
3	4	1	15.068	16.825
1	2	1	7.235	11.620
1	2	1	7.235	11.620
3	8	100	440.943	0.575
2	2	1	14.493	11.588
2	1	1	31.404	5.348
3	2	1	22.301	11.368
2	4	1	9.796	17.144
3	1	1	45.929	5.520
2	8	100	274.965	0.611
1	2	1	7.224	11.638
1	4	1	4.715	17.830
2	2	1	14.628	11.482
1	4	1	4.644	18.103
2	4	1	9.260	18.137
2	2	1	14.447	11.625
1	8	100	136.329	0.617
1	2	1	7.180	11.708
1	4	10	35.719	2.354
1	8	100	138.275	0.608
3	2	1	46.106	5.499
1	8	1	8.090	10.392
1	1	100	1057.987	0.079
2	8	1	17.308	9.704
3	8	1	25.511	9.938
2	8	1	18.233	9.211
3	4	1	13.750	18.438
2	2	1	14.539	11.551
1	8	1	9.721	8.648
1	4	1	4.677	17.975
2	8	1	17.691	9.494
2	4	10	70.482	2.383
3	8	100	412.158	0.615
1	2	10	110.888	0.758
2	8	100	272.074	0.617
1	1	10	112.565	0.747
1	2	1	7.380	11.391
2	8	1	17.975	9.343
2	2	10	111.652	1.504
1	4	10	34.986	2.403
3	4	10	106.010	2.392
2	1	10	221.232	0.759
1	2	10	55.584	1.512
2	4	10	70.493	2.383
3	8	10	47.356	5.354
3	8	100	406.476	0.624
2	8	10	31.548	5.324
1	8	10	15.725	5.346
2	2	10	110.644	1.518
3	8	10	49.766	5.094
1	2	10	55.150	1.524
3	4	10	107.004	2.369
2	8	10	31.258	5.373
3	1	10	333.985	0.759
2	2	10	111.336	1.509
1	4	100	264.396	0.318
1	8	10	15.618	5.383
1	2	100	528.795	0.159
1	2	10	55.463	1.516
2	4	10	69.600	2.413
2	8	10	31.247	5.375
3	8	100	410.287	0.618
3	8	10	47.542	5.333
2	1	10	223.184	0.753
2	4	10	71.167	2.360
3	2	10	168.167	1.508
2	8	10	31.313	5.364
1	4	10	34.951	2.405
2	8	100	288.363	0.582
2	8	10	31.420	5.345
2	2	10	110.940	1.514
1	1	10	110.955	0.758
2	4	10	70.860	2.370
1	4	100	264.668	0.318
2	4	100	528.613	0.318
1	4	10	35.519	2.367
3	8	10	47.652	5.320
1	8	100	138.367	0.608
2	2	10	111.234	1.510
2	8	10	31.411	5.347
1	8	100	136.298	0.617
2	8	10	31.535	5.326
3	8	10	47.516	5.336
3	4	10	158.177	1.603
3	2	10	167.311	1.515
3	1	10	335.633	0.755
1	1	100	1057.680	0.079
2	8	10	31.144	5.393
1	4	10	35.097	2.395
2	2	100	1056.938	0.159
2	8	100	271.048	0.620
2	4	100	528.605	0.318
1	2	10	55.777	1.507
2	2	100	1056.906	0.159
2	1	100	2112.748	0.079
1	4	10	35.101	2.395
3	8	10	47.320	5.358
2	8	10	31.144	5.393
2	2	10	110.460	1.520
3	4	10	106.603	2.378
2	1	10	222.537	0.755
3	4	100	926.098	0.274
2	8	100	270.588	0.621
1	4	100	264.695	0.318
1	8	10	18.350	4.581
2	4	10	70.588	2.379
3	2	10	168.510	1.505
2	1	10	224.013	0.750
3	8	100	409.867	0.619
2	4	100	529.111	0.317
2	4	100	635.778	0.264
